"filename", "language", "JSON with Comments", "Markdown", "C#", "aspnetcorerazor", "JSON", "XML", "CSS", "comment", "blank", "total"
"c:\Users\Jmorrow\Desktop\code\work-code\blazor\MarathonTutorialWebsite\App.razor", "aspnetcorerazor", 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\Jmorrow\Desktop\code\work-code\blazor\MarathonTutorialWebsite\Controllers\CultureController.cs", "C#", 0, 0, 21, 0, 0, 0, 0, 0, 2, 23
"c:\Users\Jmorrow\Desktop\code\work-code\blazor\MarathonTutorialWebsite\Data\CounterData.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Jmorrow\Desktop\code\work-code\blazor\MarathonTutorialWebsite\Data\FormDataEntry.cs", "C#", 0, 0, 68, 0, 0, 0, 0, 0, 12, 80
"c:\Users\Jmorrow\Desktop\code\work-code\blazor\MarathonTutorialWebsite\Data\FormDataService.cs", "C#", 0, 0, 22, 0, 0, 0, 0, 1, 3, 26
"c:\Users\Jmorrow\Desktop\code\work-code\blazor\MarathonTutorialWebsite\Data\WeatherForecast.cs", "C#", 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\Users\Jmorrow\Desktop\code\work-code\blazor\MarathonTutorialWebsite\Data\WeatherForecastService.cs", "C#", 0, 0, 23, 0, 0, 0, 0, 0, 3, 26
"c:\Users\Jmorrow\Desktop\code\work-code\blazor\MarathonTutorialWebsite\Data\YoutubeVideoEntry.cs", "C#", 0, 0, 20, 0, 0, 0, 0, 0, 2, 22
"c:\Users\Jmorrow\Desktop\code\work-code\blazor\MarathonTutorialWebsite\Data\YoutubeVideoService.cs", "C#", 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Jmorrow\Desktop\code\work-code\blazor\MarathonTutorialWebsite\MarathonTutorialWebsite.csproj", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"c:\Users\Jmorrow\Desktop\code\work-code\blazor\MarathonTutorialWebsite\Pages\About.razor", "aspnetcorerazor", 0, 0, 0, 38, 0, 0, 0, 0, 9, 47
"c:\Users\Jmorrow\Desktop\code\work-code\blazor\MarathonTutorialWebsite\Pages\Counter.razor", "aspnetcorerazor", 0, 0, 0, 0, 0, 0, 0, 29, 0, 29
"c:\Users\Jmorrow\Desktop\code\work-code\blazor\MarathonTutorialWebsite\Pages\Error.cshtml", "aspnetcorerazor", 0, 0, 0, 36, 0, 0, 0, 0, 7, 43
"c:\Users\Jmorrow\Desktop\code\work-code\blazor\MarathonTutorialWebsite\Pages\Error.cshtml.cs", "C#", 0, 0, 27, 0, 0, 0, 0, 0, 6, 33
"c:\Users\Jmorrow\Desktop\code\work-code\blazor\MarathonTutorialWebsite\Pages\FetchData.razor", "aspnetcorerazor", 0, 0, 0, 40, 0, 0, 0, 0, 7, 47
"c:\Users\Jmorrow\Desktop\code\work-code\blazor\MarathonTutorialWebsite\Pages\Index.razor", "aspnetcorerazor", 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"c:\Users\Jmorrow\Desktop\code\work-code\blazor\MarathonTutorialWebsite\Pages\Index.razor.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jmorrow\Desktop\code\work-code\blazor\MarathonTutorialWebsite\Pages\StandardHeaderOne.razor", "aspnetcorerazor", 0, 0, 0, 51, 0, 0, 0, 0, 12, 63
"c:\Users\Jmorrow\Desktop\code\work-code\blazor\MarathonTutorialWebsite\Pages\TestForm.razor", "aspnetcorerazor", 0, 0, 0, 312, 0, 0, 0, 0, 58, 370
"c:\Users\Jmorrow\Desktop\code\work-code\blazor\MarathonTutorialWebsite\Pages\TutorialVideoPage.razor", "aspnetcorerazor", 0, 0, 0, 101, 0, 0, 0, 0, 19, 120
"c:\Users\Jmorrow\Desktop\code\work-code\blazor\MarathonTutorialWebsite\Pages\YoutubeVideoList.razor", "aspnetcorerazor", 0, 0, 0, 60, 0, 0, 0, 0, 7, 67
"c:\Users\Jmorrow\Desktop\code\work-code\blazor\MarathonTutorialWebsite\Pages\YoutubeVideoList.razor.css", "CSS", 0, 0, 0, 0, 0, 0, 16, 0, 5, 21
"c:\Users\Jmorrow\Desktop\code\work-code\blazor\MarathonTutorialWebsite\Pages\_Host.cshtml", "aspnetcorerazor", 0, 0, 0, 69, 0, 0, 0, 0, 11, 80
"c:\Users\Jmorrow\Desktop\code\work-code\blazor\MarathonTutorialWebsite\Program.cs", "C#", 0, 0, 24, 0, 0, 0, 0, 0, 3, 27
"c:\Users\Jmorrow\Desktop\code\work-code\blazor\MarathonTutorialWebsite\Properties\launchSettings.json", "JSON", 0, 0, 0, 0, 28, 0, 0, 0, 1, 29
